"id","inep","nome","endereco","bairrodistrito","gestor","telefone_extraido","dados","localidade_id"
52,"29025362","PREFEITO APRÍGIO DUARTE","RUA LIRIO DOS VALES - SOL NASCENTE","Itaberaba","Não informado",NULL,NULL,"1"
53,"29401600","PRESIDENTE TANCREDO NEVES","RUA RUA A","Dom José Rodrigues","Não informado",NULL,NULL,"1"
54,"29026873","PROFª ANTONILA DA FRANÇA CARDOSO","LOCALIDADE DE ANGICO","Angico","Não informado",NULL,NULL,"2"
55,"29026989","PROFª ATANILHA LUZ ARAÚJO","RUA DOS BUTINS","Sede do Distrito (Massaroca)","Não informado",NULL,NULL,"2"
56,"29024692","PROFª CARMEM COSTA SANTOS","AVENIDA IRMA DULCE","Alto da Aliança","Não informado",NULL,NULL,"1"
57,"29024900","PROFª CRENILDES LUIZ BRANDÃO","RUA RUA ALFREDO NUNES DE OLIVEIRA","Coréia","Não informado",NULL,NULL,"1"
58,"29025036","PROFª DINORAH ALBERNAZ MELO DA SILVA","RUA PETRONILIO B DOS SANTOS","Itaberaba","Não informado",NULL,NULL,"1"
59,"29026709","PROFª EDUALDINA DAMÁSIO","LOCALIDADE CAMPO DOS CAVALOS","Sede do Distrito (Junco)","Não informado",NULL,NULL,"2"
60,"29024838","PROFª GUIOMAR LUSTOSA RODRIGUES","RUA DAS ALGAROBAS","Quidé","Não informado",NULL,NULL,"1"
61,"29024960","PROFª HAYDÉE FONSECA FALCÃO","QUADRA QUADRA  23","João Paulo II","Não informado",NULL,NULL,"1"
62,"29341809","PROFª IRACY NUNES DA SILVA","FELIPE BARROSO","Sede do Distrito (Itamotinga)","Não informado",NULL,NULL,"2"
63,"29024978","PROFª LEOPOLDINA LEAL","RUA ARNALDO VIEIRA","Quidé","Não informado",NULL,NULL,"1"
64,"29024943","PROFª MARIA DE LOURDES DUARTE","TRAVESSA TRAVESSA BEIJA-FLOR","Jardim Universitário","Não informado",NULL,NULL,"1"
